source,target,source_genesymbol,target_genesymbol,is_directed,is_stimulation,is_inhibition,consensus_direction,consensus_stimulation,consensus_inhibition,sources,references,curation_effort,n_references,n_resources
F1LVI0,Q9JK59,Bmx,Bak1,1,0,0,0,0,0,PhosphoSite;PhosphoSite_ProtMapper;ProtMapper;REACH_ProtMapper,PhosphoSite:20959805;PhosphoSite:23189150;PhosphoSite:25649765;ProtMapper:26909357,4,4,2
F1LVI0,F7EQF3,Bmx,Bak1,1,0,0,0,0,0,PhosphoSite;PhosphoSite_ProtMapper;ProtMapper;REACH_ProtMapper,PhosphoSite:20959805;PhosphoSite:23189150;PhosphoSite:25649765;ProtMapper:26909357,4,4,2
P47196,Q5TKR9,Akt1,Kat6a,1,0,0,0,0,0,PhosphoSite;PhosphoSite_ProtMapper;ProtMapper;Reactome_ProtMapper,PhosphoSite:23431171,1,1,2
Q64617,P04906,Prkch,Gstp1,1,0,0,0,0,0,HPRD_MIMP;MIMP;PhosphoSite;PhosphoSite_MIMP;PhosphoSite_ProtMapper;ProtMapper,PhosphoSite:15604283;PhosphoSite:29520271,2,2,3
F1LVI0,Q63767,Bmx,Bcar1,1,0,0,0,0,0,InnateDB;PhosphoSite;PhosphoSite_ProtMapper;ProtMapper,InnateDB:15207703;PhosphoSite:21937722,2,2,3
P49186,P52947,Mapk9,Pdx1,1,0,0,0,0,0,MIMP;PhosphoSite;PhosphoSite_MIMP;PhosphoSite_ProtMapper;ProtMapper;iPTMnet,PhosphoSite:12810726;iPTMnet:12810726,2,1,4
Q9WUD9,Q5FVC2,Src,Arhgef2,1,0,0,0,0,0,PhosphoSite,PhosphoSite:31420453,1,1,1
Q9WUD9,P19234,Src,Ndufv2,1,0,0,0,0,0,PhosphoSite;PhosphoSite_ProtMapper;ProtMapper;REACH_ProtMapper;Sparser_ProtMapper,PhosphoSite:22823520;ProtMapper:22823520,2,1,2
B5DF62,O08816,Pak4,Wasl,1,0,0,0,0,0,IntAct;PhosphoSite;PhosphoSite_ProtMapper;PhosphoSite_noref;ProtMapper;REACH_ProtMapper,IntAct:29100370;PhosphoSite:21898535;PhosphoSite:29100370;ProtMapper:29100370,4,2,3
Q9WTQ1,Q9QX05,Prkd1,Tlr4,1,0,0,0,0,0,MIMP;PhosphoSite;PhosphoSite_MIMP;PhosphoSite_ProtMapper;ProtMapper;iPTMnet,PhosphoSite:20557879;iPTMnet:20557879,2,1,4
P19139,F1M707,Csnk2a1,Ncf1,1,0,0,0,0,0,HPRD;KEA;MIMP;PhosphoSite;PhosphoSite_KEA;PhosphoSite_MIMP;PhosphoSite_ProtMapper;PhosphoSite_noref;ProtMapper;phosphoELM_MIMP,HPRD:11535139;HPRD:8089108;KEA:11485312;KEA:11535139;KEA:15629715;KEA:8089108;KEA:8626435;PhosphoSite:11535139,8,5,5
O55173,P16617,Pdpk1,Pgk1,1,0,0,0,0,0,PhosphoSite;ProtMapper;Sparser_ProtMapper,PhosphoSite:30029001;ProtMapper:30029001,2,1,2
O55099,Q4KLK9,Aurkb,Ssu72,1,0,0,0,0,0,PhosphoSite;PhosphoSite_ProtMapper;PhosphoSite_noref;ProtMapper,PhosphoSite:24149858,1,1,2
Q9QY78,P51111,Ikbkb,Htt,1,0,0,0,0,0,PhosphoSite,PhosphoSite:19710014;PhosphoSite:20064390;PhosphoSite:21623356;PhosphoSite:23297360;PhosphoSite:24334607;PhosphoSite:24505464;PhosphoSite:25464275;PhosphoSite:26106822;PhosphoSite:28698602;PhosphoSite:30185623;PhosphoSite:30538129;PhosphoSite:32757223;PhosphoSite:32805086;PhosphoSite:33256402,14,14,1
P39951,Q9QZR6,Cdk1,Septin9,1,0,0,0,0,0,PhosphoSite,PhosphoSite:23990466,1,1,1
Q9QY78,F7EXX5,Ikbkb,Irf3,1,1,0,1,1,0,PhosphoSite;PhosphoSite_ProtMapper;PhosphoSite_noref;ProtMapper;Wang,PhosphoSite:14703513;PhosphoSite:16914100;PhosphoSite:18272581;PhosphoSite:19153595;PhosphoSite:20604809;PhosphoSite:25070846;PhosphoSite:27992402;PhosphoSite:9566918,8,8,3
Q9QY78,Q5XIB0,Ikbkb,Irf3,1,1,0,1,1,0,PhosphoSite;PhosphoSite_ProtMapper;PhosphoSite_noref;ProtMapper;Wang,PhosphoSite:14703513;PhosphoSite:16914100;PhosphoSite:18272581;PhosphoSite:19153595;PhosphoSite:20604809;PhosphoSite:25070846;PhosphoSite:27992402;PhosphoSite:9566918,8,8,3
P26794,P15207,Pim1,Ar,1,0,0,0,0,0,PhosphoSite;PhosphoSite_ProtMapper;ProtMapper;REACH_ProtMapper;Sparser_ProtMapper,PhosphoSite:22584579;ProtMapper:22986532;ProtMapper:24424504,3,3,2
P54645,Q91XQ2,Prkaa1,Epm2a,1,0,0,0,0,0,PhosphoSite;PhosphoSite_ProtMapper;ProtMapper,PhosphoSite:21728993,1,1,2
P70618,P23928,Mapk14,Cryab,1,0,0,0,0,0,HPRD_MIMP;MIMP;PhosphoSite;PhosphoSite_MIMP;PhosphoSite_ProtMapper;ProtMapper;phosphoELM_MIMP,PhosphoSite:10706390;PhosphoSite:11096101;PhosphoSite:11158243;PhosphoSite:12060738;PhosphoSite:12468532;PhosphoSite:15511225;PhosphoSite:16129694;PhosphoSite:16500585;PhosphoSite:16928191;PhosphoSite:18061612;PhosphoSite:19272359;PhosphoSite:20005263;PhosphoSite:23049853;PhosphoSite:24023879;PhosphoSite:26620801;PhosphoSite:27641668;PhosphoSite:8175657;PhosphoSite:9368070,18,18,3
Q62868,P0DSP1,Rock2,Sorl1,1,0,0,0,0,0,MIMP;PhosphoSite;PhosphoSite_MIMP;PhosphoSite_ProtMapper;ProtMapper;REACH_ProtMapper;Sparser_ProtMapper;dbPTM,PhosphoSite:20015111;PhosphoSite:21147781;ProtMapper:22621900;ProtMapper:23264752;dbPTM:21147781,5,4,4
P19139,Q5BJS4,Csnk2a1,Fundc1,1,0,1,1,0,1,PhosphoSite;ProtMapper;Sparser_ProtMapper,PhosphoSite:24746696;PhosphoSite:25126723;PhosphoSite:27653272;PhosphoSite:27757847;PhosphoSite:30591555;ProtMapper:29540794,6,6,2
